title,body,labels
"Finalize API response shapes","Lock down stable API fields for contacts, leads, opportunities, current_user.","backend"
"Add TypeScript API types","Create api.ts with types for Contact, Lead, Opportunity, User.","frontend"
"Implement loading states","Add skeletons/loaders to all CRUD list + detail pages.","frontend"
"Add error states","Add error components for fetch failures and 404s.","frontend"
"Harden permissions","Ensure agents can only see their own contacts, leads, opportunities.","backend"
"Add admin-only access rules","Hide admin pages unless user.is_admin is true.","backend"
"SSR Auth: finalize getCurrentUser","Stabilize getCurrentUser and remove debug logs.","auth"
"Implement rate limiting on login","Add simple throttling on Django login endpoint.","backend,security"
"Contacts: List page","Create SSR list page for contacts with pagination.","frontend"
"Contacts: Create page","Form + server action to create new contact.","frontend"
"Contacts: Edit page","Form + server action to update existing contact.","frontend"
"Contacts: Delete action","Add delete server action and UI confirmation.","frontend"
"Leads: List page","SSR leads list page pulling from Django API.","frontend"
"Leads: Create page","Create lead form + server action.","frontend"
"Leads: Edit page","Edit page for leads, with status dropdown.","frontend"
"Leads: Delete action","Implement deletion via server action.","frontend"
"Leads: Lead → Contact conversion","Add UI + backend call to convert a lead into a contact.","backend"
"Opportunities: List page","SSR list of opportunities (placeholder for pipeline).","frontend"
"Opportunities: Create page","Form to create new opportunity.","frontend"
"Opportunities: Edit page","Edit existing opportunity with note updates.","frontend"
"Opportunities: Delete action","Add delete route + confirmation.","frontend"
"Tasks: My Tasks list","Create tasks list page with placeholders.","frontend"
"Tasks: New Task page","Simple create task form.","frontend"
"Sidebar: Add sections","Implement full sidebar with CRM, Listings, Communication, My Account, Admin.","frontend"
"Sidebar: Collapsible groups","Add dropdowns for opportunities + tasks.","frontend"
"Dashboard: Basic UI","Create placeholder dashboard with welcome message.","frontend"
"Dashboard: Pull basic stats","Fetch contact count, lead count, opportunity count.","frontend"
"Reports: Phase 1 UI","Create skeleton Reports page with 4 placeholder sections.","frontend"
"IDX: Add Listings section","Add Listings → Property Search tab in sidebar.","frontend"
"IDX: Create Property Search page","Create UI skeleton for /listings/search.","frontend"
"CSV Import (internal only)","Write script to import CSV contacts for dev testing.","backend"
"Add dummy data fixtures","Add 50–200 fake contacts, leads, opportunities for UI testing.","backend"
"Prepare .env.example","Create template of all required environment variables.","devops"
"Production cookie config","Ensure cookies are HTTPS-only and domain-scoped.","devops"
"Deployment: API readiness check","Ensure Django works with production CORS + HTTPS.","devops"
"Deployment: Next.js build prep","Test build, SSR pages, and environment variable wiring.","devops"
